id,name,handle
30180137,Tommy Hilfiger,
21942365,elementbrand,
44084633,Louis Vuitton,
165763061,New Balance SA,
74644296,SPRAYGROUND,
54886503,Canada Goose,
108407045,Maisons de Mode,
3071964353,COS,
80244351,le coq sportif,
346742249,ZARA,
14934247,Carhartt,
27636414,Urban Outfitters EU,
18932351,Carhartt WIP,
1664898542,Represent Clothing,
,Cold Laundry,
,Riley Studio,
18932351,Carhartt WIP,
82979341,Stussy,
272529059,Palace,
,Daily Paper,
3656003363,Noah Clothing,
18048070,Supreme NYC,
444559615,APC_LONDON_UK,
432564297,APC_FRANCE,
454007599,APC_USA,
3296449910,APC_AUSTRALIA,
377082410,Kith,
40188157,Maharishi,
,Acia Studio,
1032552039459577861,Samsoe & Samsoe,
1390520113,Off-White,
271535592,Fear Of God,
130488161,Zegna,
1240379022,Kent & Curwen,
,Sporty & Rich,
9923512,Basketcase,
882489384,Brownstone,
,Come Back As A Flower,
,Free and Easy,
1949883726,Posture Apparel,
706338918,Rhude,
,Bianca Saunders,
,Aluwalia,
389148621,B-Side,
